栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-10.0,0.00248404,0.3,0.00150794,0.607051
-9.9,0.00242556,0.3,0.00147128,0.606573
-9.8,0.00239387,0.3,0.00144648,0.604243
-9.6,0.00236135,0.3,0.00143241,0.606606
-9.5,0.00233187,0.3,0.00141942,0.608705
-9.4,0.00231212,0.3,0.00141375,0.611452
-9.3,0.00229648,0.3,0.00140308,0.61097
-9.1,0.00227363,0.3,0.00139116,0.611867
-9.0,0.00224397,0.3,0.00137173,0.611296
-8.9,0.00222547,0.3,0.00135533,0.609008
-8.8,0.00220065,0.3,0.00134478,0.611083
-8.7,0.00218042,0.3,0.00133572,0.612598
-8.5,0.00217015,0.3,0.00133077,0.613216
-8.4,0.00214539,0.3,0.00131557,0.613208
-8.3,0.00212343,0.3,0.00130377,0.613992
-8.2,0.00209288,0.3,0.00129018,0.616462
-8.1,0.00207545,0.3,0.00129161,0.622328
-7.9,0.00205785,0.3,0.0013092,0.636198
-7.8,0.00202616,0.3,0.001352,0.667272
-7.7,0.00199519,0.3,0.00145399,0.728748
-7.6,0.00196464,0.3,0.00164481,0.837207
-7.5,0.00193426,0.3,0.00194966,1.00796
-7.3,0.00190496,0.3,0.00236862,1.2434
-7.2,0.0018731,0.3,0.00285618,1.52484
-7.1,0.00183807,0.3,0.00338637,1.84235
-7.0,0.00180602,0.3,0.00391399,2.16719
-6.8,0.00177893,0.3,0.00440794,2.47786
-6.7,0.00175363,0.3,0.00484453,2.76257
-6.6,0.00171968,0.3,0.00522587,3.03886
-6.5,0.00168143,0.3,0.00554563,3.29816
-6.4,0.00165046,0.3,0.00582044,3.52656
-6.2,0.00161811,0.3,0.0060506,3.7393
-6.1,0.00157592,0.3,0.00624201,3.96087
-6.0,0.00153505,0.3,0.00640124,4.17005
-5.9,0.00150079,0.3,0.00654114,4.35846
-5.8,0.00146666,0.3,0.00665983,4.54081
-5.6,0.00142889,0.3,0.00675694,4.7288
-5.5,0.00138586,0.3,0.00683879,4.93469
-5.4,0.00134737,0.3,0.00690555,5.12521
-5.3,0.00130118,0.3,0.00695956,5.34865
-5.1,0.0012581,0.3,0.00700677,5.56933
-5.0,0.00121889,0.3,0.00704677,5.7813
-4.9,0.00117909,0.3,0.00708248,6.00673
-4.8,0.00114138,0.3,0.00711115,6.23031
-4.7,0.00110175,0.3,0.00713458,6.47568
-4.5,0.00106362,0.3,0.00715264,6.72481
-4.4,0.00102322,0.3,0.00716617,7.00355
-4.3,0.000983183,0.3,0.00717738,7.30015
-4.2,0.000945947,0.3,0.00718722,7.59791
-4.1,0.000906622,0.3,0.00719127,7.93194
-3.9,0.000867356,0.3,0.00719538,8.29576
-3.8,0.000829523,0.3,0.0071986,8.678
-3.7,0.000791511,0.3,0.00720015,9.09672
-3.6,0.000755587,0.3,0.00719997,9.52898
-3.5,0.000721096,0.3,0.00719926,9.98377
-3.3,0.000686724,0.3,0.00719944,10.4837
-3.2,0.000649786,0.3,0.00719795,11.0774
-3.1,0.000616667,0.3,0.00719729,11.6713
-3.0,0.000584085,0.3,0.00719413,12.3169
-2.8,0.000551264,0.3,0.00718972,13.0422
-2.7,0.000519577,0.3,0.00718626,13.831
-2.6,0.000488547,0.3,0.00718227,14.7013
-2.5,0.000457815,0.3,0.00717887,15.6807
-2.4,0.000428396,0.3,0.00717643,16.7519
-2.2,0.000400409,0.3,0.00717368,17.9159
-2.1,0.000372541,0.3,0.00716838,19.2419
-2.0,0.000343838,0.3,0.00716337,20.8336
-1.9,0.00031794,0.3,0.00715932,22.5178
-1.8,0.000291922,0.3,0.00715377,24.5058
-1.6,0.000266978,0.3,0.00715062,26.7836
-1.5,0.000243288,0.3,0.00714614,29.3732
-1.4,0.000219359,0.3,0.00714245,32.5606
-1.3,0.000196802,0.3,0.00713643,36.262
-1.1,0.000174006,0.3,0.00713333,40.9947
-1.0,0.000154374,0.3,0.00713088,46.1922
-0.9,0.000135159,0.3,0.00712933,52.7477
-0.8,0.000117197,0.3,0.00712832,60.8234
-0.7,0.000100071,0.3,0.00712755,71.2249
-0.5,8.44361e-5,0.3,0.00712433,84.3754
-0.4,6.79661e-5,0.3,0.00712212,104.789
-0.3,5.36444e-5,0.3,0.00712129,132.75
-0.2,3.99791e-5,0.3,0.00712021,178.098
-0.1,2.60751e-5,0.3,0.00711914,273.024
0.1,5.36355e-5,0.3,0.00712009,132.75
0.2,3.7942e-5,0.3,0.00711825,187.609
0.3,1.47298e-5,0.3,0.00711598,483.101
0.4,2.70402e-5,0.3,0.00710704,262.832
0.5,9.33351e-5,0.3,0.00708063,75.8625
0.7,0.000198655,0.3,0.00703694,35.4229
0.8,0.000353204,0.3,0.00696147,19.7095
0.9,0.000571124,0.3,0.00684487,11.9849
1.0,0.000836841,0.3,0.00670299,8.00987
1.2,0.00115513,0.3,0.00652582,5.64942
1.3,0.00151596,0.3,0.00631915,4.16841
1.4,0.00183902,0.3,0.00612786,3.33213
1.5,0.00209668,0.3,0.00599087,2.85731
1.6,0.00233776,0.3,0.00582217,2.49049
1.8,0.00231425,0.3,0.00584601,2.52609
1.9,0.00179749,0.3,0.00610532,3.39658
2.0,0.00169199,0.3,0.00619212,3.65967
